Method,Model,Sample_Index,Original_Class,Counterfactual_Class,Generation_Time,Tp_Sparsity,Seg_Sparsity,DTW,L1,L2,CF_Conf,Orig_Rob_Gauss_eps0.00,Orig_Conf_Gauss_eps0.00,Orig_Rob_Adv_eps0.00,Orig_Conf_Adv_eps0.00,CF_Rob_Gauss_eps0.00,CF_Conf_Gauss_eps0.00,CF_Rob_Adv_eps0.00,CF_Conf_Adv_eps0.00,Orig_Rob_Gauss_eps0.20,Orig_Conf_Gauss_eps0.20,Orig_Rob_Adv_eps0.20,Orig_Conf_Adv_eps0.20,CF_Rob_Gauss_eps0.20,CF_Conf_Gauss_eps0.20,CF_Rob_Adv_eps0.20,CF_Conf_Adv_eps0.20,Orig_Rob_Gauss_eps0.40,Orig_Conf_Gauss_eps0.40,Orig_Rob_Adv_eps0.40,Orig_Conf_Adv_eps0.40,CF_Rob_Gauss_eps0.40,CF_Conf_Gauss_eps0.40,CF_Rob_Adv_eps0.40,CF_Conf_Adv_eps0.40,Orig_Rob_Gauss_eps0.60,Orig_Conf_Gauss_eps0.60,Orig_Rob_Adv_eps0.60,Orig_Conf_Adv_eps0.60,CF_Rob_Gauss_eps0.60,CF_Conf_Gauss_eps0.60,CF_Rob_Adv_eps0.60,CF_Conf_Adv_eps0.60,Orig_Rob_Gauss_eps0.80,Orig_Conf_Gauss_eps0.80,Orig_Rob_Adv_eps0.80,Orig_Conf_Adv_eps0.80,CF_Rob_Gauss_eps0.80,CF_Conf_Gauss_eps0.80,CF_Rob_Adv_eps0.80,CF_Conf_Adv_eps0.80,Orig_Rob_Gauss_eps1.00,Orig_Conf_Gauss_eps1.00,Orig_Rob_Adv_eps1.00,Orig_Conf_Adv_eps1.00,CF_Rob_Gauss_eps1.00,CF_Conf_Gauss_eps1.00,CF_Rob_Adv_eps1.00,CF_Conf_Adv_eps1.00,Orig_Rob_Gauss_eps1.20,Orig_Conf_Gauss_eps1.20,Orig_Rob_Adv_eps1.20,Orig_Conf_Adv_eps1.20,CF_Rob_Gauss_eps1.20,CF_Conf_Gauss_eps1.20,CF_Rob_Adv_eps1.20,CF_Conf_Adv_eps1.20,Orig_Rob_Gauss_eps1.40,Orig_Conf_Gauss_eps1.40,Orig_Rob_Adv_eps1.40,Orig_Conf_Adv_eps1.40,CF_Rob_Gauss_eps1.40,CF_Conf_Gauss_eps1.40,CF_Rob_Adv_eps1.40,CF_Conf_Adv_eps1.40,Orig_Rob_Gauss_eps1.60,Orig_Conf_Gauss_eps1.60,Orig_Rob_Adv_eps1.60,Orig_Conf_Adv_eps1.60,CF_Rob_Gauss_eps1.60,CF_Conf_Gauss_eps1.60,CF_Rob_Adv_eps1.60,CF_Conf_Adv_eps1.60,Orig_Rob_Gauss_eps1.80,Orig_Conf_Gauss_eps1.80,Orig_Rob_Adv_eps1.80,Orig_Conf_Adv_eps1.80,CF_Rob_Gauss_eps1.80,CF_Conf_Gauss_eps1.80,CF_Rob_Adv_eps1.80,CF_Conf_Adv_eps1.80,Orig_Rob_Gauss_eps2.00,Orig_Conf_Gauss_eps2.00,Orig_Rob_Adv_eps2.00,Orig_Conf_Adv_eps2.00,CF_Rob_Gauss_eps2.00,CF_Conf_Gauss_eps2.00,CF_Rob_Adv_eps2.00,CF_Conf_Adv_eps2.00
COMTE,LSTMFCN,137,2,0,142.9865,0.0032,0.0,13.0145,354.09,18.7508,0.9535,1.0,0.9987,0.0,0.0013,1.0,0.9535,1.0,0.5249,1.0,0.9986,0.0,0.0002,1.0,0.9364,0.0,0.4167,1.0,0.9974,0.0,0.0001,1.0,0.8289,0.0,0.3372,1.0,0.9951,0.0,0.0001,1.0,0.5576,0.0,0.3174,1.0,0.9917,0.0,0.0001,0.0,0.3066,0.0,0.3645,1.0,0.9669,0.0,0.0,0.0,0.2181,1.0,0.5334,1.0,0.8162,0.0,0.0,0.0,0.0906,1.0,0.8284,0.0,0.3907,0.0,0.0,0.0,0.1552,1.0,0.966,1.0,0.5288,0.0,0.0,0.0,0.0391,1.0,0.9933,0.0,0.0216,0.0,0.0,0.0,0.0043,1.0,0.998,0.0,0.0019,0.0,0.0,0.0,0.0031,1.0,0.9991
COMTE,LSTMFCN,131,2,0,144.1399,0.6715,0.6667,7.4861,117.62,9.2056,0.9877,1.0,0.9846,0.0,0.0001,1.0,0.9877,1.0,0.5019,1.0,0.9862,0.0,0.0001,1.0,0.9733,1.0,0.5152,1.0,0.9881,0.0,0.0001,1.0,0.6737,1.0,0.5904,1.0,0.9694,0.0,0.0001,0.0,0.3876,1.0,0.7156,1.0,0.9894,0.0,0.0002,0.0,0.1491,1.0,0.851,1.0,0.9653,0.0,0.0002,0.0,0.1084,1.0,0.9375,1.0,0.9021,0.0,0.0002,0.0,0.1414,1.0,0.9759,1.0,0.6879,0.0,0.0002,0.0,0.2231,1.0,0.9893,1.0,0.6315,0.0,0.0001,0.0,0.143,1.0,0.9931,0.0,0.2013,0.0,0.0,0.0,0.0318,1.0,0.9946,0.0,0.0015,0.0,0.0,0.0,0.0057,1.0,0.995
COMTE,LSTMFCN,114,2,0,134.4899,0.3366,0.3333,9.2664,236.22,14.2111,0.954,1.0,0.9984,0.0,0.0003,1.0,0.954,1.0,0.5519,1.0,0.9979,0.0,0.0002,1.0,0.8838,1.0,0.5628,1.0,0.9977,0.0,0.0001,1.0,0.7087,1.0,0.6664,1.0,0.9934,0.0,0.0001,0.0,0.3044,1.0,0.8091,1.0,0.99,0.0,0.0,0.0,0.1679,1.0,0.9174,1.0,0.9431,0.0,0.0,0.0,0.172,1.0,0.9668,1.0,0.6186,0.0,0.0,0.0,0.1779,1.0,0.9841,0.0,0.3538,0.0,0.0,0.0,0.0759,1.0,0.9765,0.0,0.1519,0.0,0.0,0.0,0.08,1.0,0.9775,0.0,0.0153,0.0,0.0,0.0,0.0306,1.0,0.9795,0.0,0.0044,0.0,0.0,0.0,0.0019,1.0,0.9797
COMTE,LSTMFCN,119,2,0,125.4428,0.0065,0.0,8.8213,318.18,15.7534,0.9987,1.0,0.9773,0.0,0.0001,1.0,0.9987,1.0,0.9047,1.0,0.9778,0.0,0.0001,1.0,0.9983,1.0,0.8809,1.0,0.9805,0.0,0.0001,1.0,0.9934,1.0,0.8692,1.0,0.9822,0.0,0.0001,1.0,0.9711,1.0,0.8775,1.0,0.9703,0.0,0.0002,1.0,0.8904,1.0,0.9031,1.0,0.9466,0.0,0.0002,1.0,0.7136,1.0,0.9388,1.0,0.848,0.0,0.0003,1.0,0.4036,1.0,0.9734,1.0,0.6772,0.0,0.0004,0.0,0.323,1.0,0.99,0.0,0.1641,0.0,0.0003,0.0,0.0723,1.0,0.9963,0.0,0.0086,0.0,0.0002,0.0,0.1014,1.0,0.9986,0.0,0.0049,0.0,0.0001,0.0,0.0055,1.0,0.9994
COMTE,LSTMFCN,78,1,2,127.5336,0.0016,0.0,17.094,563.02,27.4567,0.997,1.0,0.9948,0.0,0.1122,1.0,0.997,0.0,0.0353,1.0,0.9953,0.0,0.0732,1.0,0.9972,0.0,0.0395,1.0,0.997,0.0,0.0458,1.0,0.9973,0.0,0.0553,1.0,0.9962,0.0,0.029,1.0,0.9957,0.0,0.0747,1.0,0.9984,0.0,0.0178,1.0,0.9892,0.0,0.0743,1.0,0.9968,0.0,0.0113,1.0,0.9488,0.0,0.0477,1.0,0.9994,0.0,0.0085,1.0,0.8143,0.0,0.0113,1.0,0.9999,0.0,0.0085,1.0,0.7567,0.0,0.0019,1.0,0.9999,0.0,0.0103,0.0,0.0704,0.0,0.0004,1.0,1.0,0.0,0.0137,0.0,0.0141,0.0,0.0001,1.0,1.0,0.0,0.0186,0.0,0.0037,0.0,0.0001
COMTE,LSTMFCN,26,0,3,160.0987,0.335,0.3333,10.0838,295.74,17.7453,0.9678,1.0,0.9872,0.0,0.3514,1.0,0.9678,1.0,0.9181,1.0,0.994,0.0,0.3073,1.0,0.9428,1.0,0.7241,1.0,0.988,0.0,0.3271,1.0,0.743,0.0,0.2245,1.0,0.9585,0.0,0.3988,1.0,0.5246,0.0,0.0487,1.0,0.9246,1.0,0.586,0.0,0.2102,0.0,0.0142,1.0,0.7776,1.0,0.8244,0.0,0.0973,0.0,0.0034,0.0,0.3277,1.0,0.9329,0.0,0.0352,0.0,0.0028,0.0,0.3087,1.0,0.9686,0.0,0.0039,0.0,0.0032,0.0,0.0763,1.0,0.9831,0.0,0.0014,0.0,0.0047,0.0,0.0077,1.0,0.9901,0.0,0.0004,0.0,0.0067,0.0,0.004,1.0,0.9933,0.0,0.0,0.0,0.0196
COMTE,LSTMFCN,35,3,0,138.9222,0.335,0.3333,12.3288,286.56,16.9836,0.9924,1.0,0.9958,0.0,0.0452,1.0,0.9924,1.0,0.9086,1.0,0.9939,0.0,0.0111,1.0,0.9878,1.0,0.8403,1.0,0.9837,0.0,0.0022,1.0,0.9563,1.0,0.7755,1.0,0.8994,0.0,0.0006,1.0,0.8222,1.0,0.7578,1.0,0.6187,0.0,0.0002,1.0,0.6614,1.0,0.7802,0.0,0.1021,0.0,0.0001,1.0,0.6648,1.0,0.8275,0.0,0.0108,0.0,0.0001,0.0,0.1255,1.0,0.8896,0.0,0.0031,0.0,0.0001,0.0,0.3024,1.0,0.9404,0.0,0.0003,0.0,0.0001,0.0,0.0163,1.0,0.9705,0.0,0.0,0.0,0.0001,0.0,0.0009,1.0,0.986,0.0,0.0,0.0,0.0002,0.0,0.0056,1.0,0.9927
COMTE,LSTMFCN,32,0,2,124.6307,0.0049,0.0,9.8447,354.27,18.0393,0.9916,1.0,0.9817,1.0,0.7443,1.0,0.9916,0.0,0.0001,1.0,0.9732,1.0,0.685,1.0,0.9909,0.0,0.0001,1.0,0.9443,1.0,0.6119,1.0,0.992,0.0,0.0001,1.0,0.8981,1.0,0.5894,1.0,0.9834,0.0,0.0001,1.0,0.7333,1.0,0.7067,1.0,0.9838,0.0,0.0001,1.0,0.4541,1.0,0.8883,1.0,0.95,0.0,0.0001,1.0,0.4217,1.0,0.9719,1.0,0.8595,0.0,0.0001,0.0,0.0663,1.0,0.9922,0.0,0.2022,0.0,0.0001,0.0,0.0542,1.0,0.9967,0.0,0.09,0.0,0.0,0.0,0.0035,1.0,0.9981,0.0,0.0087,0.0,0.0,0.0,0.0017,1.0,0.9985,0.0,0.0006,0.0,0.0001
COMTE,LSTMFCN,81,1,3,102.6067,0.3414,0.3333,22.8261,478.24,27.8943,0.998,1.0,0.9999,0.0,0.0017,1.0,0.998,0.0,0.1651,1.0,0.9999,0.0,0.0012,1.0,0.9967,0.0,0.0753,1.0,1.0,0.0,0.0009,1.0,0.9903,0.0,0.0298,1.0,1.0,0.0,0.0006,1.0,0.952,0.0,0.0122,1.0,1.0,0.0,0.0005,1.0,0.7291,0.0,0.0065,1.0,1.0,0.0,0.0003,0.0,0.1695,0.0,0.0046,1.0,1.0,0.0,0.0003,0.0,0.0438,0.0,0.0042,1.0,1.0,0.0,0.0002,0.0,0.0023,0.0,0.0039,1.0,1.0,0.0,0.0002,0.0,0.0008,0.0,0.0034,1.0,1.0,0.0,0.0003,0.0,0.0002,0.0,0.003,1.0,1.0,0.0,0.0003,0.0,0.0,0.0,0.003
COMTE,LSTMFCN,69,3,0,114.8403,0.3366,0.3333,9.5972,222.45,12.9854,0.9863,1.0,0.9867,0.0,0.4739,1.0,0.9863,1.0,0.907,1.0,0.9714,0.0,0.4619,1.0,0.9755,1.0,0.823,1.0,0.8465,0.0,0.4245,1.0,0.8959,1.0,0.7254,1.0,0.5193,0.0,0.3652,1.0,0.7512,1.0,0.6741,0.0,0.1741,0.0,0.295,0.0,0.447,1.0,0.6747,0.0,0.101,0.0,0.2321,1.0,0.614,1.0,0.7324,0.0,0.0251,0.0,0.2086,0.0,0.3141,1.0,0.8249,0.0,0.0044,0.0,0.2368,0.0,0.0848,1.0,0.8943,0.0,0.0006,1.0,0.4923,0.0,0.0545,1.0,0.9397,0.0,0.0007,1.0,0.7037,0.0,0.0139,1.0,0.9675,0.0,0.0,1.0,0.8386,0.0,0.0014,1.0,0.9826
COMTE,LSTMFCN,25,0,1,96.5004,0.0,0.0,16.1632,616.41,32.4895,0.9861,1.0,0.9993,1.0,0.9191,1.0,0.9861,0.0,0.0187,1.0,0.9992,1.0,0.8039,1.0,0.9871,0.0,0.0095,1.0,0.9986,1.0,0.5708,1.0,0.9908,0.0,0.0075,1.0,0.9969,0.0,0.3115,1.0,0.99,0.0,0.0087,1.0,0.9938,0.0,0.2457,1.0,0.9963,0.0,0.0103,1.0,0.9717,0.0,0.3921,1.0,0.9958,0.0,0.0115,1.0,0.8878,1.0,0.7398,1.0,0.9991,0.0,0.0139,0.0,0.3345,1.0,0.9293,1.0,0.9997,0.0,0.0177,0.0,0.0457,1.0,0.9777,1.0,0.9999,0.0,0.023,0.0,0.0198,1.0,0.9898,1.0,1.0,0.0,0.0305,0.0,0.0231,1.0,0.9937,1.0,1.0,0.0,0.0384
COMTE,LSTMFCN,104,1,2,100.2412,0.3398,0.3333,10.6449,284.55,17.6335,0.9925,1.0,0.9775,0.0,0.0013,1.0,0.9925,0.0,0.0003,1.0,0.9755,0.0,0.0008,1.0,0.9929,0.0,0.0002,1.0,0.9848,0.0,0.0005,1.0,0.9917,0.0,0.0001,1.0,0.9786,0.0,0.0005,1.0,0.9894,0.0,0.0001,1.0,0.9799,0.0,0.0005,1.0,0.9785,0.0,0.0002,1.0,0.9984,0.0,0.0007,1.0,0.8833,0.0,0.0002,1.0,0.9989,0.0,0.0025,1.0,0.8816,0.0,0.0001,1.0,0.9997,0.0,0.005,0.0,0.1066,0.0,0.0001,1.0,0.9997,0.0,0.01,0.0,0.1476,0.0,0.0,1.0,1.0,0.0,0.02,0.0,0.0184,0.0,0.0,1.0,1.0,0.0,0.0379,0.0,0.0161,0.0,0.0
COMTE,LSTMFCN,40,3,2,131.6055,0.335,0.3333,12.5754,295.44,17.4527,0.9974,1.0,0.9894,1.0,0.9899,1.0,0.9974,0.0,0.0215,1.0,0.9802,1.0,0.918,1.0,0.9971,0.0,0.0239,1.0,0.847,0.0,0.3672,1.0,0.9981,0.0,0.0362,1.0,0.3938,0.0,0.0443,1.0,0.9976,0.0,0.0569,0.0,0.0973,0.0,0.008,1.0,0.9956,0.0,0.072,0.0,0.0178,0.0,0.0017,1.0,0.9526,0.0,0.0493,0.0,0.0065,0.0,0.0007,1.0,0.9321,0.0,0.0119,0.0,0.0012,0.0,0.0005,0.0,0.3306,0.0,0.0021,0.0,0.0006,0.0,0.0005,0.0,0.139,0.0,0.0005,0.0,0.0001,0.0,0.0005,0.0,0.0692,0.0,0.0002,0.0,0.0,0.0,0.0005,0.0,0.0037,0.0,0.0001
COMTE,LSTMFCN,122,2,1,124.1801,0.3333,0.3333,16.907,337.31,20.8117,0.9954,1.0,0.9994,0.0,0.0502,1.0,0.9954,0.0,0.0914,1.0,0.9994,0.0,0.0618,1.0,0.9951,0.0,0.0694,1.0,0.9988,0.0,0.087,1.0,0.9977,0.0,0.0615,1.0,0.9983,0.0,0.1063,1.0,0.9988,0.0,0.0566,1.0,0.9971,0.0,0.0909,1.0,0.9992,0.0,0.0461,1.0,0.9859,0.0,0.0441,1.0,0.9994,0.0,0.0332,1.0,0.7275,0.0,0.0095,1.0,0.9997,0.0,0.0225,0.0,0.1773,0.0,0.0014,1.0,1.0,0.0,0.0159,0.0,0.0915,0.0,0.0003,1.0,1.0,0.0,0.0137,0.0,0.045,0.0,0.0001,1.0,1.0,0.0,0.0044,0.0,0.0032,0.0,0.0001,1.0,1.0,0.0,0.0049
COMTE,LSTMFCN,76,1,2,113.1506,0.0049,0.0,15.9135,548.73,26.8224,0.997,1.0,0.9578,0.0,0.0337,1.0,0.997,0.0,0.0353,1.0,0.9572,0.0,0.0155,1.0,0.9974,0.0,0.0395,1.0,0.9735,0.0,0.0068,1.0,0.9972,0.0,0.0553,1.0,0.9747,0.0,0.0035,1.0,0.9952,0.0,0.0747,1.0,0.9945,0.0,0.0022,1.0,0.9895,0.0,0.0743,1.0,0.9965,0.0,0.0019,1.0,0.9576,0.0,0.0477,1.0,0.9977,0.0,0.0023,1.0,0.7529,0.0,0.0113,1.0,0.9986,0.0,0.0033,1.0,0.5674,0.0,0.0019,1.0,0.9997,0.0,0.0054,0.0,0.2981,0.0,0.0004,1.0,0.9999,0.0,0.0091,0.0,0.0217,0.0,0.0001,1.0,0.9999,0.0,0.0147,0.0,0.004,0.0,0.0001
COMTE,LSTMFCN,77,1,3,133.6375,0.335,0.3333,20.9149,461.78,26.9743,0.9978,1.0,0.9999,0.0,0.0008,1.0,0.9978,0.0,0.1242,1.0,0.9999,0.0,0.0007,1.0,0.9957,0.0,0.0784,1.0,0.9999,0.0,0.0006,1.0,0.9871,0.0,0.0436,1.0,1.0,0.0,0.0004,1.0,0.948,0.0,0.0257,1.0,1.0,0.0,0.0004,1.0,0.6919,0.0,0.0164,1.0,1.0,0.0,0.0003,0.0,0.1755,0.0,0.0122,1.0,1.0,0.0,0.0003,0.0,0.0103,0.0,0.0102,1.0,1.0,0.0,0.0003,0.0,0.006,0.0,0.009,1.0,1.0,0.0,0.0003,0.0,0.0003,0.0,0.0074,1.0,1.0,0.0,0.0004,0.0,0.0001,0.0,0.0063,1.0,1.0,0.0,0.0006,0.0,0.0001,0.0,0.0062
COMTE,LSTMFCN,90,1,2,142.5565,0.335,0.3333,18.7787,375.52,23.9446,0.9935,1.0,0.9995,0.0,0.0834,1.0,0.9935,0.0,0.0357,1.0,0.9995,0.0,0.0646,1.0,0.9942,0.0,0.0574,1.0,0.9996,0.0,0.0551,1.0,0.9941,0.0,0.0922,1.0,0.9997,0.0,0.0446,1.0,0.9908,0.0,0.1203,1.0,0.9998,0.0,0.0334,1.0,0.9769,0.0,0.1388,1.0,0.9999,0.0,0.0248,1.0,0.9445,0.0,0.1394,1.0,0.9999,0.0,0.0215,1.0,0.8308,0.0,0.1088,1.0,1.0,0.0,0.0225,0.0,0.4893,0.0,0.041,1.0,1.0,0.0,0.0273,0.0,0.2231,0.0,0.0065,1.0,1.0,0.0,0.0352,0.0,0.0686,0.0,0.001,1.0,1.0,0.0,0.0468,0.0,0.0039,0.0,0.0002
COMTE,LSTMFCN,11,0,2,146.1701,0.0113,0.0,9.1645,268.06,13.522,0.9809,1.0,0.9976,1.0,0.5098,1.0,0.9809,0.0,0.0001,1.0,0.9952,1.0,0.532,1.0,0.9877,0.0,0.0001,1.0,0.9428,1.0,0.5643,1.0,0.9828,0.0,0.0001,1.0,0.5716,1.0,0.5911,1.0,0.9797,0.0,0.0001,0.0,0.3686,1.0,0.6479,1.0,0.9673,0.0,0.0002,0.0,0.1248,1.0,0.7492,1.0,0.9678,0.0,0.0003,0.0,0.3716,1.0,0.8829,1.0,0.8553,0.0,0.0005,0.0,0.2063,1.0,0.9606,1.0,0.7074,0.0,0.0006,0.0,0.1621,1.0,0.9877,0.0,0.4418,0.0,0.0005,0.0,0.094,1.0,0.9956,0.0,0.0101,0.0,0.0003,0.0,0.0038,1.0,0.9978,0.0,0.0023,0.0,0.0002
COMTE,LSTMFCN,46,3,0,132.6502,0.0065,0.0,12.5304,371.6,18.2349,0.9829,1.0,0.9963,0.0,0.0592,1.0,0.9829,1.0,0.9877,1.0,0.9938,0.0,0.0134,1.0,0.9835,1.0,0.9806,1.0,0.9799,0.0,0.0025,1.0,0.9734,1.0,0.9734,1.0,0.9085,0.0,0.0006,1.0,0.9622,1.0,0.9774,1.0,0.511,0.0,0.0002,1.0,0.784,1.0,0.989,0.0,0.0943,0.0,0.0001,1.0,0.4505,1.0,0.9955,0.0,0.0119,0.0,0.0001,0.0,0.1523,1.0,0.9981,0.0,0.0036,0.0,0.0001,0.0,0.0779,1.0,0.9989,0.0,0.0005,0.0,0.0001,0.0,0.0026,1.0,0.9992,0.0,0.0001,0.0,0.0002,0.0,0.0043,1.0,0.9992,0.0,0.0,0.0,0.0002,0.0,0.0001,1.0,0.9992
COMTE,LSTMFCN,51,3,0,98.6404,0.3382,0.3333,7.9208,193.96,11.6713,0.9949,1.0,0.5195,1.0,0.6219,1.0,0.9949,0.0,0.4602,0.0,0.3416,0.0,0.4222,1.0,0.9944,0.0,0.4518,0.0,0.152,0.0,0.2258,1.0,0.9855,0.0,0.4552,0.0,0.0896,0.0,0.117,1.0,0.9102,1.0,0.5368,0.0,0.0696,0.0,0.1387,1.0,0.8448,1.0,0.6277,0.0,0.0442,0.0,0.1189,1.0,0.8137,1.0,0.7628,0.0,0.017,0.0,0.1336,1.0,0.5289,1.0,0.8977,0.0,0.0136,0.0,0.1935,0.0,0.1986,1.0,0.9613,0.0,0.0033,0.0,0.2731,0.0,0.1153,1.0,0.9845,0.0,0.0008,0.0,0.3399,0.0,0.0104,1.0,0.9929,0.0,0.0001,0.0,0.3847,0.0,0.024,1.0,0.996
COMTE,LSTMFCN,127,2,0,89.5791,0.3366,0.3333,7.7393,179.26,10.5101,0.9974,1.0,0.9775,0.0,0.0001,1.0,0.9974,0.0,0.4937,1.0,0.9784,0.0,0.0001,1.0,0.9948,1.0,0.5424,1.0,0.9787,0.0,0.0001,1.0,0.9682,1.0,0.6378,1.0,0.986,0.0,0.0001,1.0,0.8565,1.0,0.7489,1.0,0.9855,0.0,0.0002,0.0,0.4632,1.0,0.868,1.0,0.9688,0.0,0.0003,0.0,0.4523,1.0,0.956,1.0,0.7335,0.0,0.0004,0.0,0.1329,1.0,0.9886,1.0,0.587,0.0,0.0005,0.0,0.2549,1.0,0.9966,0.0,0.0413,0.0,0.0003,0.0,0.1665,1.0,0.9987,0.0,0.174,0.0,0.0001,0.0,0.0167,1.0,0.9993,0.0,0.0106,0.0,0.0001,0.0,0.0045,1.0,0.9996
